Ensembl_ID,Gene_symbol,Log_FoldChange,logCPM,PValue,FDR_adjusted_P.value,Power,BCOV
ENSG00000100503,NIN,0.277,6.927,0.478924907,0.722927176,0.534,0.609
ENSG00000177879,AP3S1,-0.216,3.827,0.478980494,0.722966132,0.32,0.602
ENSG00000204588,LINC01123,-0.463,3.348,0.479152837,0.723145225,0.258,1.574
ENSG00000171722,SPATA46,0.546,3.405,0.479152513,0.723145225,0.597,1.083
ENSG00000274822,MIR6762,2.219,-1.475,0.479433366,0.723284947,0.924,2.459
ENSG00000173612,GPRC6A,1.28,-0.115,0.4794118,0.723284947,0.73,2.006
ENSG00000119125,GDA,-0.263,3.267,0.479328317,0.723284947,0.315,0.742
ENSG00000275779,NTAN1,-0.245,3.422,0.479329584,0.723284947,0.322,0.677
ENSG00000157045,NTAN1,-0.245,3.422,0.479344624,0.723284947,0.322,0.677
ENSG00000103671,TRIP4,0.295,3.459,0.479365979,0.723284947,0.463,0.652
ENSG00000196670,ZFP62,0.392,5.542,0.479392153,0.723284947,0.567,0.824
ENSG00000128394,APOBEC3F,-0.278,3.837,0.479654576,0.723578147,0.313,0.816
ENSG00000204006,C1orf185,-0.508,-0.399,0.479717942,0.723592694,0.19,1.802
ENSG00000161021,MAML1,0.293,6.691,0.479694467,0.723592694,0.537,0.641
ENSG00000127831,VIL1,-0.38,3.286,0.479818621,0.723663514,0.286,1.196
ENSG00000080603,SRCAP,-0.177,8.535,0.479802183,0.723663514,0.38,0.484
ENSG00000141349,G6PC3,0.314,5.651,0.479975847,0.723860114,0.536,0.682
ENSG00000278438,MIR7849,2.034,-1.512,0.480172665,0.724027622,0.924,2.138
ENSG00000253871,LOC101929488,0.953,0.509,0.480129427,0.724027622,0.63,1.695
ENSG00000124102,PI3,-0.584,0.481,0.480222275,0.724027622,0.192,2.287
ENSG00000233198,RNF224,0.676,1.553,0.480153234,0.724027622,0.586,1.285
ENSG00000263528,IKBKE,0.488,2.855,0.480328815,0.724027622,0.556,0.988
ENSG00000066248,NGEF,0.572,3.025,0.480307528,0.724027622,0.599,1.123
ENSG00000172062,SMN1,0.44,3.134,0.480274295,0.724027622,0.549,0.899
ENSG00000161057,PSMC2,-0.232,4.092,0.480279084,0.724027622,0.333,0.646
ENSG00000149742,SLC22A9,0.407,4.866,0.480276488,0.724027622,0.569,0.847
ENSG00000204632,HLA-G,1.843,-1.542,0.480373716,0.724054787,0.927,1.762
ENSG00000232987,LINC01219,-0.427,0.98,0.480428186,0.724069081,0.252,1.323
ENSG00000065029,ZNF76,0.253,5.847,0.480436957,0.724069081,0.516,0.559
ENSG00000166484,MAPK7,-0.241,4.634,0.48055115,0.724200665,0.341,0.678
ENSG00000161526,SAP30BP,-0.155,5.385,0.480628019,0.724275989,0.364,0.408
ENSG00000155744,FAM126B,-0.153,5.842,0.480732151,0.724392386,0.365,0.41
